0.04,0.04,0.04,1.07,1.11,1.09,1.1,0.44,0.39,0.26,0.12,0,0,0,0,0,0,0,0,0
0.62,0.86,1.2,-0.61,-0.15,0.27,0.52,0.12,0.75,1.04,1.38,0,0,0,0,0,0,0,0,0
9.69,9.79,9.64,9.22,9.25,9.21,9.28,9.4,9.34,9.43,9.55,0,0,0,0,0,0,0,0,0
-0.22,-0.32,-0.41,0.15,0.64,0.73,0.84,0.82,0.85,0.29,0.41,0.35,0.13,0,0,0,0,0,0,0
0.82,1.33,1.71,1.98,-0.81,-0.41,0.35,0.75,0.84,0.15,1.17,1.92,2.14,0,0,0,0,0,0,0
9.84,9.76,9.67,9.34,9.25,9.31,9.48,9.4,9.46,9.33,9.25,9.59,9.77,0,0,0,0,0,0,0
-0.4,-0.46,-0.4,0.46,0.55,0.58,0.55,0.16,0.16,0.13,0.09,0,0,0,0,0,0,0,0,0
1.55,2.01,2.21,-0.68,-0.19,0.45,0.8,0.17,1.14,1.8,2.1,0,0,0,0,0,0,0,0,0
9.74,9.73,9.7,9.23,9.25,9.34,9.33,9.34,9.18,9.53,9.77,0,0,0,0,0,0,0,0,0
-0.41,-0.31,0.34,0.42,0.4,0.34,-0.04,0.06,-0.01,-0.18,0,0,0,0,0,0,0,0,0,0
1.89,2.43,-0.49,0.02,0.61,0.87,0.12,1.13,1.65,2.05,0,0,0,0,0,0,0,0,0,0
9.71,9.7,9.22,9.35,9.46,9.42,9.35,9.33,9.62,9.85,0,0,0,0,0,0,0,0,0,0
-0.6,-0.71,-0.68,0.44,0.49,0.47,0.45,0.15,0,-0.15,-0.34,0,0,0,0,0,0,0,0,0
1.42,1.88,2.05,-0.54,0.05,0.58,0.79,0.38,1.3,1.83,2.03,0,0,0,0,0,0,0,0,0
9.75,9.66,9.68,9.28,9.35,9.38,9.42,9.33,9.15,9.44,9.62,0,0,0,0,0,0,0,0,0
-0.57,-0.67,-0.67,0.41,0.44,0.4,0.39,-0.1,-0.07,-0.09,-0.35,0,0,0,0,0,0,0,0,0
1.48,1.91,2.41,-0.59,-0.06,0.36,0.48,-0.36,0.55,1.19,1.58,0,0,0,0,0,0,0,0,0
9.58,9.55,9.24,9.08,9.19,9.23,9.28,9.35,9.28,9.54,9.64,0,0,0,0,0,0,0,0,0
-0.82,-0.87,-0.8,0.22,0.23,0.17,0.11,0.04,-0.29,-0.25,-0.28,-0.56,-0.71,0,0,0,0,0,0,0
0.97,1.5,1.76,-0.84,-0.26,0.18,0.39,-1.08,-0.4,0.6,1.16,1.55,1.69,0,0,0,0,0,0,0
9.87,9.92,9.96,8.95,9.08,9.15,9.2,9.28,9.21,9.11,9.56,9.7,9.91,0,0,0,0,0,0,0
-0.81,-0.95,-0.84,0.05,0.1,0.04,0.03,-0.2,-0.22,-0.23,-0.43,0,0,0,0,0,0,0,0,0
0.89,1.24,1.84,-0.71,-0.23,0.11,0.3,-0.33,0.68,1.39,1.74,0,0,0,0,0,0,0,0,0
9.79,9.87,9.56,9.18,9.34,9.35,9.4,9.37,9.25,9.46,9.57,0,0,0,0,0,0,0,0,0
-0.94,-0.94,-0.72,0.27,0.32,0.27,0.27,-0.18,-0.19,-0.22,-0.49,0,0,0,0,0,0,0,0,0
1.73,2.11,2.16,-0.08,0.52,0.92,1.04,-0.12,0.88,1.63,1.99,0,0,0,0,0,0,0,0,0
9.63,9.52,9.46,8.79,8.91,8.88,8.93,9.25,9.05,9.39,9.53,0,0,0,0,0,0,0,0,0
-0.95,-0.95,0.09,0.1,0.07,-0.36,-0.36,-0.59,0,0,0,0,0,0,0,0,0,0,0,0
1.68,2.01,-0.03,0.54,0.92,1.01,1.83,2.22,0,0,0,0,0,0,0,0,0,0,0,0
9.63,9.59,9.22,9.3,9.34,9.07,9.44,9.58,0,0,0,0,0,0,0,0,0,0,0,0
-0.94,-0.92,0.04,0.09,0.07,-0.54,-0.56,-0.71,0,0,0,0,0,0,0,0,0,0,0,0
1.89,2.3,-0.05,0.51,0.84,0.69,1.58,2.04,0,0,0,0,0,0,0,0,0,0,0,0
9.69,9.76,9.25,9.39,9.41,9.28,9.41,9.63,0,0,0,0,0,0,0,0,0,0,0,0
-1,-0.99,-0.63,0.09,0.1,0.04,0.01,-0.72,-0.8,-0.97,-1.09,0,0,0,0,0,0,0,0,0
1.56,2.05,2.25,-0.22,0.14,0.59,0.84,0.26,1.24,1.71,1.84,0,0,0,0,0,0,0,0,0
9.67,9.7,9.43,9.49,9.53,9.58,9.61,9.56,9.51,9.6,9.77,0,0,0,0,0,0,0,0,0
-1.01,-1.09,-1.05,-0.11,-0.11,-0.18,-0.22,-0.66,-0.66,-0.65,-0.81,0,0,0,0,0,0,0,0,0
1.29,1.75,2.01,-0.29,0.16,0.44,0.62,0.13,1.15,1.58,2,0,0,0,0,0,0,0,0,0
9.73,9.75,9.66,9.28,9.39,9.42,9.45,9.45,9.36,9.54,9.69,0,0,0,0,0,0,0,0,0
-1.17,-1.16,-0.87,0.17,0.19,0.19,0.18,-0.33,-0.43,-0.69,0,0,0,0,0,0,0,0,0,0
2.04,2.5,2.63,-0.13,0.33,0.94,1.14,1.05,1.72,2.11,0,0,0,0,0,0,0,0,0,0
9.56,9.46,9.28,9.16,9.22,9.34,9.38,9.28,9.56,9.76,0,0,0,0,0,0,0,0,0,0
0.05,-0.01,0.99,1.1,1.07,1.1,0.75,0.85,0.77,0.63,0,0,0,0,0,0,0,0,0,0
1.01,1.47,-0.76,-0.17,0.31,0.52,0.04,1.02,1.56,1.93,0,0,0,0,0,0,0,0,0,0
10.01,10.04,9.23,9.49,9.48,9.48,9.3,9.33,9.68,9.96,0,0,0,0,0,0,0,0,0,0
0.3,0.27,1.15,1.23,1.23,1.28,0.69,0.71,0.62,0.42,0,0,0,0,0,0,0,0,0,0
1.27,1.64,-0.33,0.26,0.67,0.81,0.55,1.39,1.94,2.34,0,0,0,0,0,0,0,0,0,0
9.75,9.86,9.05,9.19,9.2,9.32,9.23,9.16,9.39,9.63,0,0,0,0,0,0,0,0,0,0
0,-0.09,-0.06,0.99,1.05,1.07,1.08,0.85,0.91,0.94,0.39,0,0,0,0,0,0,0,0,0
1.77,2.09,2.38,0.02,0.44,0.85,1.21,0.08,1.05,1.73,2.17,0,0,0,0,0,0,0,0,0
9.71,9.66,9.55,8.65,8.68,8.79,8.83,9.45,9.32,9.44,9.84,0,0,0,0,0,0,0,0,0
0.2,0.11,0.03,0.98,1.01,1.02,1.35,0.97,0.95,0.74,0.61,0,0,0,0,0,0,0,0,0
1.67,2.07,2.42,0.16,0.59,0.93,-0.46,0.84,1.59,2.1,2.32,0,0,0,0,0,0,0,0,0
9.69,9.73,9.65,9.06,9.16,9.16,9.38,9.4,9.47,9.62,9.92,0,0,0,0,0,0,0,0,0
0.28,0.17,0.39,1.04,1.13,1.11,1.09,0.57,0.62,0.66,0.45,0.31,0,0,0,0,0,0,0,0
1.97,2.45,2.47,0.11,0.65,1.09,1.35,0.61,1.54,2.19,2.52,2.65,0,0,0,0,0,0,0,0
9.72,9.62,9.75,9.03,9.13,9.18,9.22,9.17,8.99,9.28,9.39,9.67,0,0,0,0,0,0,0,0
0.09,0.01,0.12,1.56,1.66,1.66,1.65,1.07,0.85,0.75,0.53,0,0,0,0,0,0,0,0,0
2.19,2.75,2.97,-0.23,0.28,0.72,1.04,0.68,1.7,2.26,2.62,0,0,0,0,0,0,0,0,0
9.71,9.53,9.42,8.98,9.15,9.23,9.26,9.07,9.2,9.45,9.62,0,0,0,0,0,0,0,0,0
0.03,0.02,1.24,1.23,1.25,0.72,0.73,0.64,0.42,0,0,0,0,0,0,0,0,0,0,0
2.42,2.72,0.13,0.46,0.9,0.87,1.68,2.25,2.56,0,0,0,0,0,0,0,0,0,0,0
9.49,9.6,9.17,9.27,9.37,9.39,9.34,9.52,9.62,0,0,0,0,0,0,0,0,0,0,0
-0.06,-0.09,0.35,1.05,1.19,1.18,1.17,0.46,0.56,0.42,0.24,0,0,0,0,0,0,0,0,0
2.4,3,2.74,0.02,0.6,1.04,1.44,1,1.96,2.44,2.74,0,0,0,0,0,0,0,0,0
9.73,9.37,9.48,9.15,9.19,9.22,9.18,9.05,9.14,9.32,9.54,0,0,0,0,0,0,0,0,0
-0.14,-0.21,-0.11,0.55,0.55,0.55,0.22,0.35,0.29,0.08,0,0,0,0,0,0,0,0,0,0
1.98,2.29,2.67,0.48,0.94,1.24,0.55,1.53,2.13,2.58,0,0,0,0,0,0,0,0,0,0
9.63,9.74,9.5,9.21,9.25,9.32,9.35,9.36,9.45,9.5,0,0,0,0,0,0,0,0,0,0
-0.21,-0.36,-0.18,0.61,0.67,0.66,0.67,0.64,0.19,0.25,0.06,-0.07,-0.21,0,0,0,0,0,0,0
2.17,2.58,2.61,-0.14,0.21,0.61,1,1.28,1.44,2.19,2.58,2.87,1.49,0,0,0,0,0,0,0
9.87,9.76,9.72,9.21,9.18,9.24,9.33,9.27,9.22,9.3,9.38,9.66,9.63,0,0,0,0,0,0,0
-0.2,-0.21,-0.15,0.69,0.73,0.74,0.75,0.4,0.45,0.4,0.23,0,0,0,0,0,0,0,0,0
2.28,2.87,3.22,0.25,0.63,0.97,1.35,0.54,1.58,2.15,2.51,0,0,0,0,0,0,0,0,0
9.65,9.5,9.34,9.05,9.07,9.16,9.21,9.4,9.32,9.55,9.69,0,0,0,0,0,0,0,0,0
-0.15,-0.22,1.18,1.19,1.19,1.18,1.17,0.23,0.3,0.14,0,0,0,0,0,0,0,0,0,0
2.12,2.67,0.03,0.34,0.84,1.17,1.33,1.35,2.11,2.57,0,0,0,0,0,0,0,0,0,0
9.92,9.86,9.06,9.18,9.27,9.3,9.3,9.18,9.46,9.67,0,0,0,0,0,0,0,0,0,0
-0.24,-0.27,-0.27,0.37,0.67,0.74,0.75,0.73,0.69,0.27,0.27,0.25,0.09,0,0,0,0,0,0,0
2.31,2.9,3.28,2.72,0.68,1.23,1.71,1.99,0.51,2.1,2.78,3.2,3.41,0,0,0,0,0,0,0
9.59,9.6,9.4,9.24,8.9,9,9.09,9.04,9.67,8.99,9.28,9.4,9.6,0,0,0,0,0,0,0
-0.11,-0.2,-0.19,0.74,0.66,0.67,0.69,0.72,0.27,0.3,0.34,0.13,0,0,0,0,0,0,0,0
2.42,2.97,3.37,0.83,1.17,1.47,1.68,1.75,1.63,2.38,2.86,2.03,0,0,0,0,0,0,0,0
9.6,9.45,9.39,9.34,9.29,9.4,9.42,9.49,9.4,9.44,9.49,9.5,0,0,0,0,0,0,0,0
0.07,0.05,1.05,1.11,1.12,1.13,1.14,0.41,0.6,0.51,0.32,0,0,0,0,0,0,0,0,0
2.79,3.5,0.75,1.1,1.55,1.83,1.95,1.43,2.34,2.88,3.21,0,0,0,0,0,0,0,0,0
9.66,9.65,8.6,8.69,8.75,8.76,8.81,9.01,9.21,9.49,9.63,0,0,0,0,0,0,0,0,0
-0.01,-0.07,0.12,0.86,0.94,1.06,1.07,1.12,0.75,0.84,0.92,0.74,0.59,0,0,0,0,0,0,0
2.7,3.19,3.55,0.47,0.8,1.29,1.64,1.83,0.91,2,2.85,3.3,3.48,0,0,0,0,0,0,0
9.54,9.49,9.31,8.91,8.9,9.05,8.94,9.01,9.07,9,9.1,9.22,9.39,0,0,0,0,0,0,0
0.3,0.23,1.16,1.18,1.17,1.16,0.74,0.7,0.5,0.29,0,0,0,0,0,0,0,0,0,0
2.96,3.55,0.81,1.29,1.68,1.96,1.95,2.64,3.09,3.17,0,0,0,0,0,0,0,0,0,0
9.55,9.49,8.92,8.96,9.05,9.12,9.08,9.31,9.43,9.73,0,0,0,0,0,0,0,0,0,0
